Sample,ID,Raw Reads,On-Target Reads,%On-Target,%GT,IFI,CLocus_1002761_180,CLocus_10129_76,CLocus_1020801_178,CLocus_10426_46,CLocus_104687_101,CLocus_105606_42,CLocus_1061_105,CLocus_1114_245,CLocus_112695_138,CLocus_11299_134,CLocus_113187_240,CLocus_11408_55,CLocus_1144_109,CLocus_1150_141,CLocus_11572_102,CLocus_1160_112,CLocus_117_221,CLocus_11839_59,CLocus_11964_77,CLocus_12057_52,CLocus_1208_194,CLocus_1213_99,CLocus_124_49,CLocus_1252_94,CLocus_125446_75,CLocus_126241_158,CLocus_126344_52,CLocus_126590_89,CLocus_127179_130,CLocus_128742_119,CLocus_12887_215,CLocus_128882_77,CLocus_12986_114,CLocus_13082_132,CLocus_13123_78,CLocus_1322_171,CLocus_133061_111,CLocus_133100_127,CLocus_13634_62,CLocus_14046_64,CLocus_14117_140,CLocus_141527_177,CLocus_14192_100,CLocus_142284_120,CLocus_145_134,CLocus_1466_95,CLocus_1467_122,CLocus_14729_245,CLocus_1477_58,CLocus_148167_124,CLocus_148586_87,CLocus_14970_219,CLocus_1524_84,CLocus_152674_139,CLocus_154838_46,CLocus_154839_142,CLocus_156666_79,CLocus_158513_141,CLocus_15891_101,CLocus_15956_83,CLocus_161208_237,CLocus_161627_98,CLocus_162342_212,CLocus_16267_200,CLocus_16275_107,CLocus_163322_97,CLocus_165239_58,CLocus_16580_201,CLocus_1658_96,CLocus_16594_132,CLocus_16687_190,CLocus_167048_201,CLocus_167570_202,CLocus_1677_138,CLocus_16851_79,CLocus_16860_56,CLocus_16_181,CLocus_170599_120,CLocus_170920_140,CLocus_171093_189,CLocus_171359_71,CLocus_1722_141,CLocus_173967_67,CLocus_1744_179,CLocus_1745_198,CLocus_1758_141,CLocus_1766_55,CLocus_1818459_71,CLocus_1825_66,CLocus_183564_45,CLocus_1850_48,CLocus_186015_228,CLocus_1876_179,CLocus_189502_122,CLocus_18_59,CLocus_190785_74,CLocus_1927_249,CLocus_201892_100,CLocus_203894_139,CLocus_204425_123,CLocus_2059_226,CLocus_2063_127,CLocus_207387_134,CLocus_208162_158,CLocus_2082_48,CLocus_2094_162,CLocus_209911_114,CLocus_2129_105,CLocus_2136_208,CLocus_2235_137,CLocus_225425_48,CLocus_225597_171,CLocus_227758_104,CLocus_2289_55,CLocus_229819_51,CLocus_230522_63,CLocus_23202_216,CLocus_233692_53,CLocus_236016_42,CLocus_236133_84,CLocus_23744_163,CLocus_237451_168,CLocus_2383_83,CLocus_238817_66,CLocus_239183_115,CLocus_239632_80,CLocus_239941_51,CLocus_240269_142,CLocus_24068_56,CLocus_241289_158,CLocus_241865_81,CLocus_241999_96,CLocus_242331_64,CLocus_242586_118,CLocus_242795_233,CLocus_242946_86,CLocus_243019_137,CLocus_243028_76,CLocus_243090_78,CLocus_243475_45,CLocus_243544_136,CLocus_243843_195,CLocus_244049_61,CLocus_244949_142,CLocus_245698_149,CLocus_245869_99,CLocus_246050_60,CLocus_246063_65,CLocus_24632_234,CLocus_246851_246,CLocus_2469_130,CLocus_247220_60,CLocus_247256_92,CLocus_247403_83,CLocus_248535_73,CLocus_248582_102,CLocus_248727_172,CLocus_248891_228,CLocus_2495_200,CLocus_25193_194,CLocus_2532_194,CLocus_2571_98,CLocus_2578_161,CLocus_2584_115,CLocus_26658_210,CLocus_2672_131,CLocus_2690_89,CLocus_2721_121,CLocus_273849_103,CLocus_2814_113,CLocus_28215_49,CLocus_28430_232,CLocus_288996_179,CLocus_2892_77,CLocus_29009_150,CLocus_2905_74,CLocus_2911_71,CLocus_2918_85,CLocus_2945_129,CLocus_29556_91,CLocus_298468_55,CLocus_2987_236,CLocus_3028_182,CLocus_3055_249,CLocus_3074_118,CLocus_30813_92,CLocus_31106_102,CLocus_3119_87,CLocus_3127_88,CLocus_3134_116,CLocus_3141_70,CLocus_3167_134,CLocus_31713_158,CLocus_31884_125,CLocus_3250_155,CLocus_32777_113,CLocus_327_195,CLocus_3297_118,CLocus_3306_116,CLocus_33799_129,CLocus_3414_154,CLocus_34361_121,CLocus_34588_195,CLocus_351952_47,CLocus_35472_72,CLocus_3558_121,CLocus_35973_101,CLocus_3615_94,CLocus_3624_143,CLocus_3659_56,CLocus_36_137,CLocus_37208_126,CLocus_3737_73,CLocus_37837_87,CLocus_37973_124,CLocus_386_87,CLocus_38751_115,CLocus_390344_66,CLocus_3905_75,CLocus_39064_115,CLocus_39492_87,CLocus_3954_125,CLocus_4011_211,CLocus_4062_57,CLocus_40861_124,CLocus_4088_179,CLocus_4132_114,CLocus_4150_168,CLocus_4152_206,CLocus_4160_53,CLocus_4163_135,CLocus_416_61,CLocus_417003_96,CLocus_4177_116,CLocus_41985_168,CLocus_42163_64,CLocus_4231_113,CLocus_428146_61,CLocus_428753_51,CLocus_429668_199,CLocus_4300_135,CLocus_4348_107,CLocus_4390_94,CLocus_43_224,CLocus_4425_133,CLocus_4428_123,CLocus_4437_78,CLocus_443931_77,CLocus_4451_162,CLocus_4479_92,CLocus_44906_77,CLocus_451_202,CLocus_4550_139,CLocus_45590_80,CLocus_45605_220,CLocus_4574_198,CLocus_4590_52,CLocus_4627_218,CLocus_4651_172,CLocus_4654_162,CLocus_4669_44,CLocus_46986_83,CLocus_46_197,CLocus_47211_84,CLocus_4726_137,CLocus_4808_55,CLocus_4854_233,CLocus_48900_105,CLocus_49042_91,CLocus_49702_234,CLocus_49805_162,CLocus_5026_85,CLocus_5043_94,CLocus_51162_71,CLocus_51296_83,CLocus_5342_221,CLocus_55674_222,CLocus_56754_53,CLocus_5692_138,CLocus_58970_130,CLocus_5955_124,CLocus_59563_41,CLocus_6123_109,CLocus_61250_204,CLocus_6151_106,CLocus_62865_113,CLocus_6303_234,CLocus_6630_102,CLocus_670_42,CLocus_696_107,CLocus_701_76,CLocus_7067_110,CLocus_7086_202,CLocus_7102_62,CLocus_72213_51,CLocus_739561_124,CLocus_75522_90,CLocus_77710_133,CLocus_780_76,CLocus_78254_116,CLocus_79682_49,CLocus_7_51,CLocus_804357_69,CLocus_80_201,CLocus_85444_50,CLocus_856_48,CLocus_85896_123,CLocus_861_67,CLocus_8637_157,CLocus_863_248,CLocus_87197_43,CLocus_87285_50,CLocus_88966_107,CLocus_8901_129,CLocus_897_216,CLocus_901_59,CLocus_90634_174,CLocus_90864_74,CLocus_908_150,CLocus_92050_122,CLocus_921_79,CLocus_93655_176,CLocus_9370_126,CLocus_94037_41,CLocus_94536_134,CLocus_94907_111,CLocus_9585_43,CLocus_966_142,CLocus_991819_166,CLocus_99758_112,200712C
1_2C,200750C,176350,85425,48.44,85.76,0.07,11,11,11,11,11,11,12,11,11,0,0,12,11,11,11,11,0,12,12,11,11,11,11,11,11,11,11,11,11,12,0,11,11,11,11,12,11,0,11,12,11,11,11,11,0,11,11,11,11,12,11,0,11,11,11,12,11,11,0,11,0,11,11,11,12,12,11,11,11,11,11,12,12,11,11,12,11,12,22,11,11,11,11,11,0,0,11,11,11,11,11,11,11,11,0,11,11,11,11,11,11,11,12,11,11,12,11,11,11,11,11,11,11,11,12,11,11,12,11,12,11,0,0,11,11,11,11,0,12,11,11,11,0,11,0,11,12,11,11,11,11,11,11,11,0,11,11,0,11,11,0,0,11,11,12,11,11,11,11,11,11,12,12,11,11,11,11,12,12,12,11,12,12,11,11,11,11,11,11,0,12,11,11,12,0,11,11,11,11,12,12,11,11,11,11,0,11,11,11,11,11,11,11,11,11,11,11,0,0,12,11,11,11,11,11,11,11,11,12,0,12,11,12,11,11,12,11,0,11,12,11,0,11,11,11,11,11,11,11,0,0,12,11,12,0,0,11,12,11,12,0,12,0,12,11,11,12,0,11,11,11,0,11,0,11,0,11,11,11,12,11,11,12,12,11,11,22,11,11,11,12,12,11,0,11,11,11,0,11,11,12,11,12,11,11,11,11,0,11,12,0,11,11,11,11,12,11,11,11,12,11,11,0,11,11,12,0,11,11,11,11,12,12,11,0,0,11,11,11,11,
1_2D,200776C,35063,16580,47.29,58.48,0.11,11,0,12,0,12,12,0,0,11,0,0,11,0,0,11,11,0,0,0,11,11,0,11,11,11,11,0,12,11,0,0,0,11,0,0,11,0,0,11,12,11,0,0,11,11,0,12,11,11,0,0,0,11,11,11,12,11,0,0,11,0,0,0,11,11,11,11,11,11,11,11,11,12,0,0,12,11,11,0,0,11,0,11,12,0,0,11,11,11,0,12,11,11,11,0,11,0,11,0,11,0,11,11,11,0,11,11,11,11,11,11,0,11,11,11,11,11,11,11,12,11,0,0,12,0,11,12,0,11,0,11,11,0,0,0,11,12,0,0,0,11,0,11,11,0,11,0,0,0,11,0,0,11,12,0,11,0,12,0,11,11,0,11,0,0,0,0,11,0,12,0,0,11,11,12,11,0,11,12,0,0,11,11,11,0,0,0,11,22,0,11,11,11,11,12,0,11,11,11,11,11,11,0,11,0,11,11,0,0,11,0,0,11,0,11,11,11,12,0,0,12,0,22,0,11,0,11,0,11,11,0,0,12,11,12,11,0,0,11,0,0,12,0,11,0,0,11,11,11,12,0,0,0,12,0,11,0,0,0,12,11,0,11,0,11,0,0,11,0,12,11,11,12,12,11,11,11,12,11,11,0,11,11,0,11,11,11,0,11,12,0,11,11,12,0,12,11,0,11,0,0,12,11,0,11,11,0,0,12,11,11,0,0,11,11,0,0,12,11,0,0,12,11,11,0,0,11,0,11,0,
1_2G,6055C,31847,9963,31.28,52.42,0.06,11,0,0,0,11,11,0,0,11,0,0,11,0,0,11,11,0,0,0,0,11,0,11,11,11,0,0,11,0,0,0,0,12,0,11,11,0,0,0,11,0,0,0,11,11,0,11,11,11,0,0,0,11,11,11,22,11,11,0,0,0,11,0,11,11,12,11,0,11,11,11,11,0,0,0,11,11,11,0,0,0,0,11,11,0,0,11,11,11,0,11,0,11,11,0,12,0,11,0,11,0,11,11,11,0,0,0,12,11,11,11,0,11,0,11,11,11,11,11,11,11,0,0,11,0,11,12,0,11,0,11,11,0,0,0,11,0,0,0,0,11,0,12,11,0,12,0,0,0,11,0,0,12,11,0,11,0,11,0,11,11,0,0,0,0,0,0,11,0,11,0,0,12,11,11,11,0,11,0,0,0,12,11,12,0,11,0,11,0,0,11,11,11,11,22,0,11,11,11,11,11,11,0,11,0,12,11,0,0,11,0,0,11,0,11,11,11,0,12,0,11,0,12,0,12,0,11,0,0,11,0,0,0,12,12,11,0,0,11,0,0,11,0,11,0,0,12,11,11,11,0,12,0,11,0,11,0,0,0,11,11,0,11,0,11,0,0,11,0,12,11,11,12,11,11,11,12,12,11,11,0,11,0,0,11,11,0,0,0,11,0,11,11,0,0,0,11,0,11,0,0,11,11,0,11,11,11,0,11,12,11,0,0,12,0,0,0,11,11,12,0,11,12,12,0,0,11,0,0,0,
1_3H,6028C,113336,52885,46.66,78.79,0.11,11,0,11,11,11,11,12,11,11,0,0,12,11,11,12,11,0,11,12,11,11,11,11,11,11,11,0,11,11,12,0,0,11,0,11,12,0,0,0,12,11,11,12,11,11,11,12,11,11,11,11,0,11,11,12,11,12,11,0,0,0,11,11,12,12,11,11,11,11,11,11,11,12,11,0,12,0,12,0,0,11,12,11,11,0,0,11,11,11,11,12,11,11,11,0,11,11,11,11,11,11,11,11,12,11,12,11,11,12,12,11,11,11,12,11,11,11,11,11,12,11,0,0,11,11,11,11,0,12,11,12,11,0,0,11,11,11,11,12,11,11,11,11,11,0,11,11,12,11,11,0,11,11,11,11,11,0,11,11,11,11,12,12,0,11,11,11,12,0,12,11,0,11,11,11,11,11,11,12,0,0,11,11,11,0,11,11,11,11,0,11,11,11,11,11,0,11,12,11,11,12,11,11,11,11,11,11,0,0,11,11,11,11,11,11,11,11,11,12,0,11,0,12,11,11,12,11,0,12,0,11,0,11,0,11,11,0,11,11,11,0,11,0,12,0,0,11,12,11,12,0,11,0,11,11,11,12,0,0,12,12,0,12,0,11,0,0,11,11,12,12,11,11,11,11,0,22,11,11,11,12,12,11,0,12,11,11,0,11,11,12,11,12,11,11,11,11,0,11,11,0,12,11,11,0,12,11,11,11,11,11,11,0,11,11,11,0,11,11,11,12,12,12,11,0,0,12,11,11,0,
1_4C,6087C,87554,40349,46.08,75.76,0.05,11,0,11,0,11,11,11,11,11,0,0,11,11,11,11,11,0,12,11,11,11,11,11,11,11,11,0,11,11,11,0,22,11,0,12,11,11,0,11,11,0,11,0,12,11,11,11,11,11,0,0,0,11,11,11,22,11,11,0,11,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,11,11,0,11,11,11,11,11,12,11,11,0,0,11,0,11,0,11,11,11,11,11,11,12,11,11,11,11,11,11,11,0,11,11,11,11,11,11,11,0,11,11,11,11,12,0,11,0,11,11,0,0,0,12,12,0,0,0,11,11,12,11,0,22,11,0,11,12,0,0,12,11,12,11,0,11,11,11,11,22,11,0,11,0,11,12,0,12,11,11,12,11,11,11,11,11,11,0,11,11,11,11,0,0,0,12,11,0,11,11,12,11,22,0,11,11,11,11,11,11,0,11,11,11,12,0,0,11,11,12,11,11,11,11,11,12,12,0,11,0,22,11,11,11,11,0,12,11,11,0,0,11,12,11,0,11,11,11,0,12,11,11,0,0,11,12,11,11,0,11,0,12,11,11,11,0,0,11,11,0,11,0,11,0,11,11,11,12,11,11,12,11,12,11,11,11,11,11,0,11,11,0,11,11,11,0,11,12,11,11,12,11,0,12,11,0,11,0,0,12,12,0,11,11,11,22,11,11,11,0,0,11,11,0,0,11,11,11,11,11,12,11,0,11,11,0,11,0,
1_6F,200788C,69500,34580,49.76,73.33,0.14,11,11,12,0,12,12,12,0,12,0,0,12,11,11,11,12,0,11,0,11,11,0,11,11,11,12,0,12,11,11,0,0,11,0,12,12,11,0,11,12,0,11,12,12,11,11,12,12,11,0,12,0,11,11,12,12,11,11,0,11,0,11,11,11,12,11,11,11,11,11,11,12,12,11,0,12,11,11,11,11,11,11,11,12,0,11,11,11,11,11,12,11,11,11,0,11,0,11,0,11,11,11,11,11,0,11,11,12,11,11,12,11,11,11,12,11,11,11,11,12,11,0,11,12,11,11,12,0,11,0,11,11,0,0,0,11,12,0,0,0,11,11,11,11,0,11,0,0,12,11,0,0,12,11,11,11,0,11,11,11,11,12,12,0,0,11,11,11,0,12,0,0,12,11,11,11,11,11,12,0,0,11,11,11,0,11,0,11,12,0,11,11,11,11,12,0,11,11,11,12,11,11,0,11,0,11,11,0,0,12,11,11,11,0,11,11,11,12,12,0,12,0,22,11,11,11,11,0,11,11,11,0,12,11,12,11,0,0,11,0,0,11,11,11,0,0,12,11,11,12,0,11,0,12,11,11,11,0,0,12,11,0,11,0,11,0,0,11,0,12,11,12,12,12,12,11,11,12,11,11,12,11,12,0,11,11,11,0,11,12,11,11,12,12,0,12,12,0,11,0,0,11,11,0,11,11,12,11,11,12,11,0,0,11,11,0,0,11,11,11,11,11,12,11,0,0,11,0,12,0,
1_7C,6007C,226398,116910,51.64,84.55,0.1,11,11,11,11,11,11,11,11,11,0,0,11,11,11,11,11,11,12,11,11,11,11,11,11,11,11,0,11,11,11,0,22,11,11,11,11,11,0,11,11,12,11,11,12,11,11,11,11,0,11,11,0,11,11,11,22,11,11,0,11,0,11,11,11,11,11,11,11,11,11,11,11,11,11,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,11,0,11,11,11,11,11,11,11,11,12,11,22,11,11,11,0,11,11,11,11,11,11,11,11,11,0,11,11,11,11,12,0,11,11,11,11,12,11,0,11,11,0,11,11,12,11,11,11,0,11,11,11,11,11,0,0,12,11,11,11,11,11,11,11,11,12,11,0,11,0,11,11,11,12,11,11,22,11,11,11,11,11,11,11,11,12,11,11,0,11,11,11,11,11,11,11,11,11,22,0,12,11,11,11,12,11,0,11,11,11,11,0,0,11,11,12,11,11,11,11,12,12,12,0,11,0,22,11,11,11,11,0,11,11,0,0,0,11,12,11,0,11,11,11,0,11,11,11,0,0,11,11,11,11,0,11,0,11,11,11,11,0,11,11,11,0,11,11,11,0,11,11,11,12,11,11,12,11,0,11,11,11,11,11,12,11,12,0,11,11,11,0,11,11,11,11,12,11,0,12,11,0,11,11,11,12,11,0,11,11,11,12,12,12,11,11,0,11,11,11,0,11,11,11,11,11,12,12,0,11,11,11,12,0,
1_8H,6017C,360098,172613,47.94,87.27,0.1,11,11,11,11,11,11,11,11,11,0,0,11,11,11,12,11,0,11,11,11,11,11,11,11,11,11,12,11,11,11,0,12,11,11,11,12,11,0,11,12,11,11,11,11,0,11,11,11,11,11,11,0,11,11,12,11,11,12,11,11,0,11,11,11,11,11,11,11,11,11,11,11,12,11,12,12,0,12,22,12,11,12,11,11,0,0,11,11,11,11,11,11,11,12,0,11,11,11,11,11,11,11,11,11,11,12,11,11,11,11,11,11,11,11,11,11,11,11,11,12,11,0,11,12,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,11,11,11,11,11,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,11,12,11,12,11,12,11,11,11,11,11,0,12,11,11,11,0,11,11,11,11,12,11,11,11,11,22,0,11,12,11,11,11,11,11,0,11,11,11,0,0,11,11,11,11,11,11,11,11,11,12,0,12,11,11,11,11,12,11,11,11,0,11,0,11,11,11,11,11,12,11,11,0,12,0,11,0,0,11,11,11,12,0,11,0,12,11,11,11,0,11,11,11,0,12,11,11,0,0,11,11,12,11,11,11,11,11,11,22,11,11,0,12,12,11,0,12,11,11,11,11,11,12,11,12,11,11,11,11,0,11,12,11,11,11,11,11,11,12,11,11,11,11,11,0,11,11,12,0,11,11,11,11,11,12,11,0,0,11,12,11,11,
1_9A,6007C,139515,75081,53.82,81.52,0.08,12,11,11,11,11,11,11,11,11,0,0,11,11,11,11,12,0,12,11,11,11,11,11,11,11,12,11,11,11,11,0,22,11,11,11,11,11,0,11,12,12,11,11,12,11,11,11,11,11,11,11,0,11,11,11,22,11,11,0,11,0,11,11,11,11,11,11,11,11,11,11,11,12,11,12,12,11,11,11,11,0,11,11,11,11,11,11,11,11,11,11,12,11,11,0,12,0,11,0,11,11,11,11,11,11,12,12,11,11,11,11,11,11,11,11,0,11,11,11,11,11,0,11,11,0,11,12,0,11,11,11,11,0,0,0,12,11,0,0,0,12,11,11,11,0,11,11,11,11,11,0,0,12,11,11,11,0,11,11,11,11,12,11,0,11,11,12,11,12,11,11,11,22,11,11,11,12,11,12,0,11,11,11,12,0,11,0,11,11,11,11,11,11,11,22,0,11,11,11,11,11,11,0,11,11,11,12,0,0,11,11,11,11,11,11,11,11,12,12,0,11,0,22,11,11,11,11,0,11,11,11,0,0,11,12,11,0,11,11,11,0,11,11,11,0,0,11,11,11,11,0,11,0,12,11,11,11,0,11,11,11,0,11,11,11,0,11,11,11,12,11,11,12,11,0,11,11,12,11,11,12,12,12,0,11,11,11,0,11,12,11,11,12,12,0,12,11,0,11,0,0,12,11,0,11,11,11,12,11,12,11,11,12,11,11,0,0,11,11,11,11,11,12,12,0,11,11,0,12,0,
2_2E,6028C,97412,43376,44.53,76.36,0.08,11,0,12,0,11,11,12,11,11,0,0,11,11,11,12,11,0,11,12,11,11,11,11,11,11,11,0,11,11,11,0,12,11,0,12,11,11,0,11,12,0,12,0,11,11,11,11,11,11,0,11,0,11,11,12,11,11,11,0,11,0,11,11,11,12,11,11,11,11,11,11,12,12,11,0,12,0,11,0,0,11,0,11,12,0,0,11,11,11,11,12,11,11,11,0,11,12,12,0,11,11,11,12,11,0,11,11,11,11,12,11,0,11,11,11,11,11,11,11,12,11,0,11,11,11,11,11,0,12,0,11,11,0,0,11,11,11,11,12,11,11,0,11,11,0,11,11,11,0,11,0,0,11,11,11,11,0,12,0,11,11,12,12,0,11,11,11,12,0,12,11,11,11,12,11,11,11,11,11,0,11,11,11,11,0,11,11,11,11,11,12,11,11,11,11,0,11,11,11,11,11,11,0,11,11,11,11,0,0,11,11,11,11,11,11,11,11,12,12,0,12,11,12,11,11,0,11,0,11,0,11,0,11,0,11,11,11,11,11,11,0,11,0,12,0,0,11,12,11,12,0,11,0,11,11,0,11,0,11,12,12,0,11,0,11,0,0,11,11,12,11,12,11,11,11,11,12,11,11,11,12,11,11,0,11,11,11,0,11,12,0,11,11,11,0,11,11,0,11,12,0,11,11,0,11,12,11,12,11,11,11,11,0,11,11,11,0,11,11,11,0,12,11,11,0,0,11,0,11,0,
2_2F,200762C,74460,32523,43.68,70.91,0.08,11,0,11,0,11,11,11,11,11,22,0,11,12,11,11,0,0,11,0,12,12,11,11,22,11,11,11,11,11,11,0,0,11,0,11,12,0,0,11,12,0,11,11,11,0,0,11,12,11,0,11,0,11,12,12,0,12,11,0,0,0,11,11,11,11,11,11,11,11,11,11,11,12,0,0,11,0,11,0,0,11,0,12,11,0,0,11,12,11,12,11,11,11,11,0,11,12,11,0,22,11,11,11,11,0,12,0,11,22,11,12,11,11,0,11,12,12,22,11,11,12,0,0,11,0,11,11,0,12,0,12,0,0,11,11,11,11,0,11,11,11,0,12,12,0,11,11,12,11,11,0,0,11,11,11,12,0,11,11,11,11,11,11,0,12,12,11,22,11,11,0,11,0,11,11,11,11,22,11,0,0,11,11,11,0,0,11,11,11,0,11,11,11,11,11,0,12,0,12,0,11,11,0,0,11,11,11,0,0,11,11,11,22,12,11,11,11,11,11,0,12,0,11,0,11,0,12,0,12,11,0,0,11,11,11,12,11,11,11,11,0,11,0,11,0,0,11,11,11,11,0,11,0,11,11,12,11,0,11,11,11,0,11,0,12,0,0,11,11,22,11,11,11,11,11,12,22,11,11,11,11,11,11,0,11,11,11,0,12,11,0,11,12,11,0,11,11,0,12,0,0,11,11,11,0,11,11,11,11,0,11,0,0,12,11,0,0,11,11,11,11,11,12,12,0,0,12,0,11,0,
2_5D,6093C,104643,25653,24.51,70.3,0.08,11,12,11,11,11,11,11,11,11,0,0,11,0,11,11,12,0,11,11,11,11,11,11,11,12,11,11,11,11,11,0,0,11,0,11,12,0,0,12,12,0,11,11,11,0,12,0,12,11,0,11,0,12,12,12,12,11,11,0,0,0,11,11,12,11,11,11,12,11,11,11,11,0,0,0,11,0,11,0,0,11,11,12,11,0,0,11,12,11,0,12,0,11,11,0,11,11,11,0,12,11,11,11,11,12,12,11,11,12,11,11,11,11,12,11,12,11,12,12,11,0,0,0,11,0,11,11,0,11,11,12,22,0,0,11,11,11,0,11,0,11,0,12,11,0,11,11,22,0,11,0,0,11,11,0,11,0,12,0,11,11,11,11,0,12,11,11,12,0,12,0,11,11,11,12,11,11,12,11,0,0,11,12,11,0,22,11,11,0,0,11,12,11,0,12,0,11,12,12,0,12,11,0,0,11,11,11,0,0,11,11,11,0,12,11,11,11,12,12,0,12,0,12,0,11,11,0,0,0,11,0,0,11,11,11,12,11,11,11,0,0,11,11,11,0,0,11,11,11,12,0,11,0,11,11,12,11,0,0,12,11,0,11,0,12,0,0,12,11,22,12,11,11,11,11,12,12,11,11,12,11,11,11,0,11,11,12,0,11,11,0,11,12,11,11,11,11,0,12,0,0,11,11,11,0,11,11,11,11,12,11,0,0,12,11,11,0,11,11,11,0,11,12,12,0,0,12,0,0,0,
2_7C,200712C,224395,112713,50.23,86.06,0.08,11,11,11,0,11,12,12,11,11,0,0,11,11,11,11,11,0,12,11,11,11,11,11,11,11,11,11,11,11,11,0,22,12,11,11,11,11,0,11,12,11,11,12,12,11,11,11,11,0,11,11,0,11,11,11,22,11,11,0,11,0,0,11,11,11,11,11,11,11,11,11,11,12,11,0,12,11,11,11,11,12,11,11,11,11,11,11,11,11,11,12,11,11,11,0,11,11,11,11,11,12,11,11,11,11,12,11,11,11,11,12,11,11,11,11,11,11,11,11,11,11,0,11,11,11,11,11,12,11,11,11,11,0,11,0,11,12,0,11,11,12,11,11,11,0,11,11,11,11,11,0,0,11,11,11,11,0,11,11,11,11,12,11,0,11,11,11,11,12,12,11,12,22,11,11,11,11,11,11,11,11,11,11,11,0,11,11,11,11,11,11,11,11,11,22,0,11,11,11,11,11,11,11,11,11,12,11,0,0,11,11,11,11,11,11,11,11,22,12,0,12,0,22,11,11,11,11,11,11,11,11,0,22,11,12,11,0,11,11,11,0,11,11,11,0,0,11,11,11,11,0,11,0,12,11,11,11,0,11,12,11,0,11,11,11,0,11,11,12,12,11,11,11,11,11,11,11,12,11,11,12,11,11,0,11,11,11,0,11,11,11,11,12,12,11,12,11,0,11,11,11,12,11,0,11,11,11,12,11,12,11,0,11,11,11,0,0,11,11,12,11,11,12,12,0,11,11,11,12,11,
2_8B,200750C,238061,113670,47.75,88.18,0.09,11,12,11,11,11,11,12,11,11,0,0,12,11,11,11,11,0,11,12,11,11,11,11,11,11,11,11,12,11,12,0,12,11,12,11,11,11,0,11,12,12,12,12,11,11,11,11,11,11,12,11,0,11,11,11,12,11,11,0,11,0,11,11,11,12,11,11,11,11,11,11,11,12,11,11,12,0,12,22,11,11,11,11,11,0,11,11,11,11,11,12,11,11,12,0,11,12,11,11,11,11,11,11,11,11,12,11,11,11,11,11,11,11,11,11,11,11,11,11,12,11,0,11,11,11,11,11,11,12,11,11,11,11,11,11,11,11,11,12,11,11,12,11,11,0,11,11,0,11,11,0,11,11,12,11,11,11,11,11,11,11,12,12,11,11,11,11,12,12,11,11,12,12,12,11,11,11,11,11,0,11,11,11,11,0,11,11,11,11,12,11,11,11,11,11,0,11,11,11,11,11,11,11,11,11,11,11,0,0,11,11,11,12,11,11,11,11,11,12,0,11,0,12,11,11,12,11,11,11,11,11,0,11,11,11,11,11,11,11,11,0,12,11,12,0,0,11,12,11,12,0,11,0,11,11,11,12,0,11,12,11,0,11,0,11,0,11,11,11,12,11,12,12,12,11,11,22,11,11,11,12,12,11,0,11,11,11,0,11,11,12,11,12,11,11,12,11,0,11,12,0,11,12,11,11,11,11,12,11,12,11,11,12,11,11,11,0,11,11,11,11,12,12,11,0,11,11,0,11,11,
2_8E,6087C,115231,33482,29.06,73.64,0.06,11,0,11,11,11,11,11,11,11,0,0,11,11,11,11,11,0,22,0,11,12,11,11,11,11,11,0,11,11,11,0,0,11,11,11,11,11,0,11,11,0,11,0,12,11,11,11,11,11,11,0,0,11,0,11,22,11,11,0,11,0,11,11,11,11,11,11,11,11,11,11,11,11,11,0,11,11,11,11,11,11,0,11,11,0,11,11,11,11,11,12,11,11,11,0,11,0,11,0,11,12,11,11,11,11,12,11,11,11,11,11,0,11,0,11,11,11,11,11,11,11,0,11,11,11,11,12,0,11,0,11,11,0,0,0,12,11,0,0,11,11,0,11,11,0,22,11,0,0,11,0,0,12,11,12,11,0,11,0,0,11,22,11,0,11,0,11,11,0,12,0,0,12,11,11,11,11,11,11,11,11,11,11,11,0,0,0,11,11,0,11,11,11,11,22,0,11,11,11,11,11,11,0,11,11,11,12,0,0,11,11,12,11,0,11,11,11,12,12,0,11,0,22,11,11,11,11,0,11,11,11,0,0,11,12,11,0,11,11,11,0,12,11,11,0,0,11,11,11,11,0,11,0,12,11,11,11,0,0,11,11,0,11,0,11,0,11,11,11,12,11,11,12,11,11,11,11,11,11,11,0,11,11,0,11,11,11,0,11,12,0,11,12,11,0,12,11,0,11,0,0,12,11,0,11,11,11,22,12,11,11,0,0,11,11,0,0,11,11,11,11,11,12,11,0,11,11,0,11,0,
